{'pressure': 956.66, 'pressure_unit': 'hPa', 'temperature': 31.83, 'temperature_unit': '°C', 'humidity': 27.61, 'humidity_unit': '%', 'lux': 27, 'uvs': 4, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 23, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': -1, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.52, 'pressure_unit': 'hPa', 'temperature': 31.84, 'temperature_unit': '°C', 'humidity': 26.96, 'humidity_unit': '%', 'lux': 27, 'uvs': 4, 'gas': 8194, 'roll': -0.02, 'pitch': -0.01, 'yaw': 180.0, 'acceleration': {'X': -26, 'Y': 21, 'Z': 2072}, 'gyroscope': {'X': -11, 'Y': -5, 'Z': -7}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.52, 'pressure_unit': 'hPa', 'temperature': 31.84, 'temperature_unit': '°C', 'humidity': 26.96, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -30, 'Y': 22, 'Z': 2065}, 'gyroscope': {'X': -9, 'Y': -1, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.52, 'pressure_unit': 'hPa', 'temperature': 31.87, 'temperature_unit': '°C', 'humidity': 27.53, 'humidity_unit': '%', 'lux': 27, 'uvs': 4, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -26, 'Y': 23, 'Z': 2067}, 'gyroscope': {'X': -9, 'Y': -4, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.52, 'pressure_unit': 'hPa', 'temperature': 31.87, 'temperature_unit': '°C', 'humidity': 27.53, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -26, 'Y': 21, 'Z': 2065}, 'gyroscope': {'X': -11, 'Y': -5, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.52, 'pressure_unit': 'hPa', 'temperature': 31.88, 'temperature_unit': '°C', 'humidity': 27.88, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': -180.01, 'acceleration': {'X': -26, 'Y': 22, 'Z': 2069}, 'gyroscope': {'X': -10, 'Y': -7, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.52, 'pressure_unit': 'hPa', 'temperature': 31.88, 'temperature_unit': '°C', 'humidity': 27.88, 'humidity_unit': '%', 'lux': 27, 'uvs': 4, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -26, 'Y': 23, 'Z': 2066}, 'gyroscope': {'X': -11, 'Y': -3, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.52, 'pressure_unit': 'hPa', 'temperature': 31.88, 'temperature_unit': '°C', 'humidity': 27.88, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.0, 'acceleration': {'X': -30, 'Y': 22, 'Z': 2064}, 'gyroscope': {'X': -10, 'Y': -2, 'Z': -6}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.44, 'pressure_unit': 'hPa', 'temperature': 31.9, 'temperature_unit': '°C', 'humidity': 27.48, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -26, 'Y': 24, 'Z': 2070}, 'gyroscope': {'X': -11, 'Y': 0, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.44, 'pressure_unit': 'hPa', 'temperature': 31.9, 'temperature_unit': '°C', 'humidity': 27.48, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': 180.0, 'acceleration': {'X': -28, 'Y': 22, 'Z': 2064}, 'gyroscope': {'X': -11, 'Y': -1, 'Z': -6}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.91, 'temperature_unit': '°C', 'humidity': 27.68, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 21, 'Z': 2062}, 'gyroscope': {'X': -10, 'Y': -6, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.91, 'temperature_unit': '°C', 'humidity': 27.68, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 21, 'Z': 2069}, 'gyroscope': {'X': -9, 'Y': -5, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.87, 'temperature_unit': '°C', 'humidity': 27.25, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.0, 'yaw': 180.01, 'acceleration': {'X': -32, 'Y': 24, 'Z': 2071}, 'gyroscope': {'X': -9, 'Y': 1, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.47, 'pressure_unit': 'hPa', 'temperature': 31.87, 'temperature_unit': '°C', 'humidity': 27.25, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 21, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': -1, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.5, 'pressure_unit': 'hPa', 'temperature': 31.88, 'temperature_unit': '°C', 'humidity': 27.47, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -27, 'Y': 23, 'Z': 2066}, 'gyroscope': {'X': -10, 'Y': -3, 'Z': -4}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.5, 'pressure_unit': 'hPa', 'temperature': 31.88, 'temperature_unit': '°C', 'humidity': 27.47, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 22, 'Z': 2072}, 'gyroscope': {'X': -8, 'Y': 0, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.63, 'pressure_unit': 'hPa', 'temperature': 31.83, 'temperature_unit': '°C', 'humidity': 27.32, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 21, 'Z': 2071}, 'gyroscope': {'X': -9, 'Y': -1, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.63, 'pressure_unit': 'hPa', 'temperature': 31.83, 'temperature_unit': '°C', 'humidity': 27.32, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.01, 'yaw': -180.01, 'acceleration': {'X': -30, 'Y': 22, 'Z': 2069}, 'gyroscope': {'X': -9, 'Y': 6, 'Z': 1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.55, 'pressure_unit': 'hPa', 'temperature': 31.86, 'temperature_unit': '°C', 'humidity': 27.61, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -24, 'Y': 26, 'Z': 2068}, 'gyroscope': {'X': -10, 'Y': -5, 'Z': -2}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.55, 'pressure_unit': 'hPa', 'temperature': 31.86, 'temperature_unit': '°C', 'humidity': 27.61, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': 0.0, 'yaw': 180.01, 'acceleration': {'X': -28, 'Y': 23, 'Z': 2067}, 'gyroscope': {'X': -10, 'Y': 1, 'Z': -1}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.55, 'pressure_unit': 'hPa', 'temperature': 31.86, 'temperature_unit': '°C', 'humidity': 27.61, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.01, 'yaw': 180.01, 'acceleration': {'X': -26, 'Y': 24, 'Z': 2071}, 'gyroscope': {'X': -11, 'Y': -4, 'Z': -3}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.71, 'pressure_unit': 'hPa', 'temperature': 31.88, 'temperature_unit': '°C', 'humidity': 27.48, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': -180.01, 'acceleration': {'X': -28, 'Y': 25, 'Z': 2072}, 'gyroscope': {'X': -11, 'Y': -1, 'Z': 0}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.71, 'pressure_unit': 'hPa', 'temperature': 31.88, 'temperature_unit': '°C', 'humidity': 27.48, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': -0.0, 'yaw': 180.01, 'acceleration': {'X': -29, 'Y': 22, 'Z': 2069}, 'gyroscope': {'X': -11, 'Y': 0, 'Z': -5}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.6, 'pressure_unit': 'hPa', 'temperature': 31.91, 'temperature_unit': '°C', 'humidity': 27.49, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.01, 'pitch': -0.0, 'yaw': 180.0, 'acceleration': {'X': -27, 'Y': 24, 'Z': 2071}, 'gyroscope': {'X': -10, 'Y': 0, 'Z': -6}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
{'pressure': 956.6, 'pressure_unit': 'hPa', 'temperature': 31.91, 'temperature_unit': '°C', 'humidity': 27.49, 'humidity_unit': '%', 'lux': 27, 'uvs': 3, 'gas': 8194, 'roll': -0.02, 'pitch': 0.0, 'yaw': 180.0, 'acceleration': {'X': -26, 'Y': 21, 'Z': 2067}, 'gyroscope': {'X': -11, 'Y': 1, 'Z': -6}, 'magnetic': {'X': 0, 'Y': 0, 'Z': 0}}
